news,source,label
‘53000 ಕೋಟಿ ರೂ 41 ಕೋಟಿ ಬ್ಯಾಂಕ್ ಖಾತೆಗಳಿಗೆ’ ಎಂದು ಅಮಿತ್ ಶಾ ಹೇಳಿದ್ದನ್ನು ತಪ್ಪಾಗಿ ಉಲ್ಲೇಖಿಸಿದ ‘ಆಜ್ ತಕ್’,factly,0
 ತೆರವು ಕಾರ್ಯಾಚರಣೆಯ ವಿಮಾನ ಹತ್ತಿದ್ದು ಪುಟಿನ್ ಅವರೇ?,prajavani,0
 ಚ್ಯೂಯಿಂಗ್ ಗಮ್​ನಿಂದ ಗುಳ್ಳೆ ಊದಿ ತಿಂಗಳಿಗೆ ₹ 67 ಸಾವಿರ ಗಳಿಕೆ!,news18,1
 ಈ ದ್ವೇಷದ ಭಾಷಣ ಜಹಾಂಗೀರ್ಪುರಿ ಹಿಂಸಾಚಾರಕ್ಕೆ ಸಂಬಂಧಿಸಿದ್ದಾ? ,oneindia,0
ಕರ್ನಾಟಕ ಯೂತ್‌ ಕಾಂಗ್ರೆಸ್ ಕಚೇರಿ ಉದ್ಘಾಟನೆಯಲ್ಲಿ ಇಸ್ಲಾಂ ಧಾರ್ಮಿಕ ವಿಧಾನಗಳನ್ನು ಅನುಸರಿಸಿಲ್ಲ,factly,0
ಸಂತೋಷ್‌ ಪ್ರಕ​ರ​ಣದಿಂದ ಚೌಡೇ​ಶ್ವರಿ ಮುಕ್ತಿ ನೀಡಿ​ದ್ದಾ​ಳೆ: ಈಶ್ವ​ರ​ಪ್ಪ,asianet,1
ಮಧ್ಯಮ ಶ್ರೇಣಿಯ ಸ್ಮಾರ್ಟ್‌ಫೋನ್‌ Moto Edge 30 ಶೀಘ್ರದಲ್ಲೇ ಭಾರತದಲ್ಲಿ ಬಿಡುಗಡೆ: ನಿರೀಕ್ಷಿತ ಬೆಲೆ ಎಷ್ಟು?,asianet,1
 ರಾಹುಲ್‌ 7ನೇ ವಿದ್ಯಾವಂತ ನಾಯಕನಾ?,asianet,0
Har Ghar Tiranga: 1 ಕೋಟಿ ರಾಷ್ಟ್ರಧ್ವಜ ಹಾರಾಟ ಗುರಿ: ಸಿಎಂ ಬೊಮ್ಮಾಯಿ,asianet,1
"ಹೊಲದಲ್ಲಿ ಪೋರ್ನ್ ವಿಡಿಯೋ ತೋರಿಸಿ ಲೈಂಗಿಕ ದೌರ್ಜನ್ಯ, 8 ವರ್ಷದ ಬಾಲಕಿ ಬಾಯ್ಬಿಟ್ಟ ಕಹಿ ಸತ್ಯ",asianet,1
"ಜಯಾ ಉತ್ತರಾಧಿಕಾರಿಗಳ ಜಟಾಪಟಿ, ಬಾಟಲಿ ತೂರಾಟ",asianet,1
2175 ಹೆಕ್ಟೇರ್‌ ಬೆಳೆ ಹಾನಿ: 15 ದಿನಗಳ ಬಿರುಮಳೆಯಿಂದ ಭಾರೀ ಅನಾಹುತ,asianet,1
"ಎಟಿಜಿಎಂ ಪರೀಕ್ಷಾರ್ಥ ಉಡಾವಣೆ ಯಶಸ್ವಿ                              
                        ",prajavani,1
"ಖರೀದಿ ಕೇಂದ್ರ ತೆರೆಯಲು ಪ್ರಸ್ತಾವ                              
                        ",prajavani,1
Chamarajanagar: ಜಮೀನು ಮಾರಾಟ ಮಾಡುವ ವಿಚಾರಕ್ಕೆ ಜಗಳ: ಪತ್ನಿ ಕೊಂದು ಠಾಣೆಗೆ ಶರಣಾದ ಪತಿ,asianet,1
 ಮುಂದಿನ ತಿಂಗಳೇ 143 ವಸ್ತುಗಳ ಮೇಲಿನ ಜಿಎಸ್‌ಟಿ ಏರಿಕೆ ಆಗುತ್ತಾ?,oneindia,0
 ಉರ್ದು ಮಾತನಾಡದಿದ್ದಕ್ಕಾಗಿ ಯುವಕನ ಕೊಲೆ?,oneindia,0
ಮಳೆ ಬಂತೆಂದು ಬಸ್‌ ನಿಲ್ದಾಣದಲ್ಲಿ ಕುಳಿತ ವ್ಯಕ್ತಿ ವಿದ್ಯುತ್ ಶಾಕ್‌ಗೆ ಬಲಿ,asianet,1
"Sri Lanka Crisis ಪರಾರಿಯಾಗಲ್ಲ ಎಂದಿದ್ರು ಗೊಟಬಯ, ಸ್ಫೋಟಕ ಮಾಹಿತಿ ಬಿಚ್ಚಿಟ್ಟ ಜಯಸೂರ್ಯ",asianet,1
1708ರಲ್ಲಿ ಮುಳುಗಿದ ನೌಕೆಯಲ್ಲಿ ರಾಶಿ ರಾಶಿ ಚಿನ್ನ: 1.3 ಲಕ್ಷ ಕೋಟಿ ರು. ಮೌಲ್ಯದ ಬಂಗಾರ ಪತ್ತೆ,asianet,1
ಬಾಸ್‌ನ ಹೇಗಂತಾ ಕರಿಲಿ.. . ಹೇಯ್‌ ಅಂತ ಕರೆದು ಆರತಿ ಮಾಡಿಸಿಕೊಂಡ ,asianet,1
 ಬೇಸಿಗೆಯಲ್ಲಿ ಪೆಟ್ರೋಲ್ ತುಂಬಿಸಿದರೆ ವಾಹನಕ್ಕೆ ಬೆಂಕಿ ಬೀಳುತಂತೆ ,oneindia,0
ರೈಲ್ವೆ ಸ್ಟೇಷನ್‌ನಲ್ಲೇ ಅತ್ಯಾಚಾರ: ಕೃತ್ಯವೆಸಗಿದ 4 ಉದ್ಯೋಗಿಗಳ ಬಂಧನ,asianet,1
"ಅಗ್ನಿವೀರರಿಗೆ 1 ಕೋಟಿ ರೂ ವಿಮೆ, ಯೋಜನೆ ಹಿಂಪಡೆಯುವುದಿಲ್ಲ, ಸೇನಾ ಮುಖ್ಯಸ್ಥರ ಸ್ಪಷ್ಟನೆ",asianet,1
 ಫಸ್ಟ್ ಟೈಮ್ ನಿಮ್ಮ ಮಗುವಿಗೆ ಸ್ನಾನ ಮಾಡಿಸುವುದು ಹೇಗೆ ಅಂತ ಚಿಂತೆನಾ? ತಾಯಂದಿರಿಗೆ ಇಲ್ಲಿದೆ ಸೂಪರ್ ಟಿಪ್ಸ್,news18,1
ಕೆಲಸಗಾರನಿಂದಲೇ ಜ್ಯೂವೆಲ್ಲರಿ ಶಾಪ್ ನಲ್ಲಿ ಕಳ್ಳತನ-ಮೋಜು ಮಸ್ತಿಗಾಗಿ ಕಳವು ,asianet,1
2ನೇ ತರಗತಿಯ ವಿದ್ಯಾರ್ಥಿಯನ್ನು ಬಿಟ್ಟು ತರಗತಿಗೆ ಬೀಗ: 10 ಶಾಲಾ ಸಿಬ್ಬಂದಿ ಅಮಾನತು ,asianet,1
"‘ಕನ್ನಡದಲ್ಲಿ ಕಾನೂನು ಪದವಿ: ಭಾಷಾಂತರ ಅವಾಂತರ’                              
                        ",prajavani,1
"ಕೊಂಕಣಿ ಚಿತ್ರ ‘ಆಳ್ಶಿರೆಡ್ಡೆ’ ಬಿಡುಗಡೆಗೆ ಸಜ್ಜು                              
                        ",prajavani,1
ಪತಿ ಉದ್ಧವ್‌ ಸರ್ಕಾರ ಉಳಿಸಲು ಕಣಕ್ಕಿಳಿದ ಪತ್ನಿ,asianet,1
"ವರಮಹಾಲಕ್ಷ್ಮಿ ಹಬ್ಬ; ಖರೀದಿ ಭರಾಟೆ                              
                        ",prajavani,1
"ದೇವರಿಗಾಗಿ ಹೋರಾಡಿದವನನ್ನು ಕೊಂದ್ಬಿಟ್ರು, ಸತ್ತವನ ಹಿಂದೆ ಇಡೀ ಗ್ರಾಮದ ಹೆಣ್ಮಕ್ಳು ",asianet,1
"ಉಪ ರಾಷ್ಟ್ರಪತಿ ಚುನಾವಣೆ: ಮಾರ್ಗರೇಟ್‌ ಆಳ್ವ ಬೆಂಬಲಿಸಲು ಟಿಆರ್‌ಎಸ್‌ ತೀರ್ಮಾನ                              
                        ",prajavani,1
"ಸಮನ್ವಿ ಸಾವಿಗೆ ಹೃದಯಾಘಾತ ಕಾರಣ                              
                        ",prajavani,1
"ಅಮ್ಮನ ಹುಟ್ಟುಹಬ್ಬದಂದು ಸೂಸೈಡ್‌ ಮಾಡಿಕೊಂಡ ಮಗ, ವಿಶ್ವದ ಬೆಸ್ಟ್‌ ಗಿಫ್ಟ್‌ ಎಂದು ಡೆತ್‌ನೋಟ್‌",asianet,1
ಟೈಮ್‌ ವಿಶ್ವದ 100 ಪ್ರಭಾವಿಗಳಲ್ಲಿ ಭಾರತದ ಮೂವರು,asianet,1
"ಲಾನ್‌ ಬಾಲ್ಸ್‌: ಪುರುಷರ ತಂಡಕ್ಕೆ ಬೆಳ್ಳಿ                              
                        ",prajavani,1
" ಪ್ಲಾಸ್ಟಿಕ್‌ ಮೊಟ್ಟೆ, ಪ್ಲಾಸ್ಟಿಕ್‌ ಅಕ್ಕಿ ಆಯ್ತು, ಮಾರುಕಟ್ಟೆಗೆ ಬಂದಿದೆ ನಕಲಿ ಗೋಡಂಬಿ",asianet,0
Fact Check| 27 ವರ್ಷ ಬಳಿಕ ಶಿಕ್ಷಕಿ ಭೇಟಿ ಆದ ಪಿಚೈ,asianet,0
ಸೂರ್ಯೋದಯದ ಈ ಫೋಟೋಗಳು ಒರಿಸ್ಸಾದ (ಭಾರತ) ಕೊನಾರ್ಕ್ ದೇವಸ್ಥಾನಕ್ಕೆ ಸಂಬಂಧಿಸಿದವಲ್ಲ,factly,0
Covid Origin:ಚೀನಾ ಪ್ರಯೋಗಾಲಯದಿಂದ ಕೊರೋನಾ ವೈರಸ್ ಸೋರಿಕೆ ವಾದ ತಳ್ಳಿ ಹಾಕಲ್ಲ: ಡಬ್ಲ್ಯು ಎಚ್ ಒ,asianet,1
ಬೆಂಕಿ ಜ್ವಾಲೆಯಲ್ಲಿ ಸಿಲುಕಿದ್ದವರನ್ನು ರಕ್ಷಿಸಿದ್ದ ಸಂರಕ್ಷಕ ದಯಾನಂದ ತಿವಾರಿ ಅವರನ್ನು ಮಾಧ್ಯಮಗಳು ನಿರ್ಲಕ್ಷಿಸಿವೆ ಎಂಬುದು ಸುಳ್ಳು,factly,0
ತ್ರಿಪುರಾ ಹಿಂಸಾಚಾರದ ಸಂದರ್ಭದಲ್ಲಿ ಜಿಹಾದ್​ಗೆ ಕರೆ ನೀಡುವ ಮಸೀದಿಯ ದೃಶ್ಯಗಳೆಂದು ಘಟನೆಗೆ ಸಂಬಂಧವಿಲ್ಲದ ಸಿರಿಯಾದ ಹಳೆಯ ವಿಡಿಯೊ ಹಂಚಿಕೆಯಾಗಿದೆ,factly,0
ಇನ್ನೂ 5 ದಿನ ರಾಜ್ಯದಲ್ಲಿ ಮಳೆಯಾರ್ಭಟ: ನದಿಪಾತ್ರಗಳಲ್ಲಿ ಹೈ ಅಲರ್ಟ್,asianet,1
ಮಾನವ ಕಳ್ಳ ಸಾಗಣೆ: ಗಾಯಕ ದಲೇರ್ ಮೆಹಂದಿಗೆ 2 ವರ್ಷ ಜೈಲು,asianet,1
ಕೈಯಲ್ಲಿ ಚಾಕು ಹಿಡಿದು ಡಾನ್‌ ತರ ಜನರ ಬೆದರಿಸಿದ ಕೋತಿ: ವಿಡಿಯೋ ವೈರಲ್,asianet,1
75 ವರ್ಷಗಳ ನಂತರ ಪಾಕ್‌ನಲ್ಲಿರುವ ಬಾಲ್ಯದ ಮನೆಗೆ ಭೇಟಿ ನೀಡಿದ 92 ವರ್ಷದ ಅಜ್ಜಿ,asianet,1
ನಕಲಿ ನಂಬರ್‌ ಪ್ಲೇಟ್‌ ಅಳವಡಿಸಿ 55 ಬಾರಿ ನಿಯಮ ಉಲ್ಲಂಘಿಸಿದ ಭೂಪ..,asianet,1
ನೇಪಾಳದಲ್ಲಿ 4 ಭಾರತೀಯರು ಸೇರಿದಂತೆ 22 ಜನರಿದ್ದ ವಿಮಾನ ನಾಪತ್ತೆ,asianet,1
 300 ವರ್ಷದ ಹಿಂದೆ ಧ್ಯಾನಸ್ಥರಾದ ಯೋಗಿ ಜೀವಂತ ಪತ್ತೆ,asianet,0
ಸಿಪಿಆರ್ ಮಾಡಲು ಕಲಿತ ಶ್ವಾನ: ಹಸ್ಕಿ ನಾಯಿಯ ಮುದ್ದಾದ ವಿಡಿಯೋ ವೈರಲ್,asianet,1
ಪಾಕಿಸ್ತಾನದ ಸಂಸತ್‌ ನಲ್ಲಿ ಮೋದಿ ಜಿಂದಾಬಾದ್‌ ಎಂದು ಘೋಷಣೆ ಕೂಗಿಲ್ಲ,factly,0
 ಏನಿದು ಅಚ್ಚರಿ ಕೋವಿಡ್ 19 ಲಸಿಕೆ ಪಡೆದವರ ಮೈಯಲ್ಲಿ ಕರೆಂಟ್ ,oneindia,0
ಹಿಜಾಬ್ ಧರಿಸಿದ ಮೊದಲ ನ್ಯಾಯಾಧೀಶೆ ರಫಿಯಾ ಅರ್ಷದ್ ಬ್ರಿಟನ್‌ನವರು ಹೊರತು ಅಮೆರಿಕದವರಲ್ಲ,factly,0
ರಸ್ತೆಯಲ್ಲಿ ಸಿಕ್ಕ 45 ಲಕ್ಷ ರೂಪಾಯಿ: ಪ್ರಾಮಾಣಿಕತೆ ಮೆರೆದ ಟ್ರಾಫಿಕ್ ಪೊಲೀಸ್,asianet,1
ಊಟದ ವೇಳೆ ರಾಹುಲ್ ಗಾಂಧಿ ಮಾಸ್ಕ್ ಧಿರಿಸಿದ್ದರು ಎಂದು ವ್ಯಂಗ್ಯ ಮಾಡಲಾಗುತ್ತಿದೆಯೇ ಹೊರತು ಅದು ನಿಜವಲ್ಲ,factly,0
ಮೇಕೆದಾಟು ವಿರುದ್ಧ ಮೋದಿಗೆ ತಮಿಳ್ನಾಡು ಸಿಎಂ ಸ್ಟಾಲಿನ್‌ ಪತ್ರ,asianet,1
ದಿ ಕಾಶ್ಮೀರ್ ಫೈಲ್ಸ್ ಸಿನಿಮಾ ನೋಡುವಾಗ ಯುಪಿ ಸಿಎಂ ಯೋಗಿ ಆದಿತ್ಯನಾಥ್ ಕಣ್ಣೀರು ಹಾಕಿದರು ಎಂದು ಹಳೆಯ ವಿಡಿಯೋ ಹಂಚಿಕೊಳ್ಳಲಾಗುತ್ತಿದೆ,factly,0
"ಹೆದ್ದಾರಿಗಳು ಶೀಘ್ರ ಗುಂಡಿ ಮುಕ್ತ, ಜನಸ್ನೇಹಿ ಆಡಳಿತ: ಕೂರ್ಮಾರಾವ್‌                              
                        ",prajavani,1
ಆತ್ಮಹತ್ಯೆಗೆ ಮುಂದಾದ ಪ್ರೇಮಿಗಳು: ಕೊನೆ ಕ್ಷಣದಲ್ಲಿ ಕಹಾನಿ ಮೇ ಟ್ವಿಸ್ಟ್: ದೂರು ದಾಖಲು,asianet,1
ಭದ್ರತಾ ಕಾರಣಕ್ಕೆ 2017 ರಲ್ಲಿಯೇ ರಾಷ್ಟ್ರಪತಿಗಳ ಮಗಳನ್ನು ಏರ್ ಇಂಡಿಯಾ ಫ್ಲೈಟ್ ಅಟೆಂಡೆಂಟ್ ಹುದ್ದೆಯಿಂದ ಕಚೇರಿಯ ಆಂತರಿಕ ವ್ಯವಹಾರಗಳ ವಿಭಾಗಕ್ಕೆ ನಿಯೋಜಿಸಲಾಗಿದೆ,factly,0
"ಗಾಯಕ ಸಿಧು ಮೂಸೇವಾಲಾ ಹತ್ಯೆ, ಡೆಹ್ರಾಡೂನ್‌ನಲ್ಲಿ 5 ಶಂಕಿತ ಹತ್ಯೆಕೋರರು ವಶಕ್ಕೆ",asianet,1
 ಏರ್‌ ಇಂಡಿಯಾದಲ್ಲಿ 3 ಪಟ್ಟು ಹಣ ವಸೂಲಿ ಮಾಡಲಾಯ್ತಾ?,asianet,0
ಈ ಏರ್‌ಪೋರ್ಟ್‌ನಲ್ಲಿ ನೀವಿನ್ನು ಸಂಸ್ಕೃತದಲ್ಲೂ ಅನೌನ್ಸ್‌ಮೆಂಟ್ ಕೇಳ್ಬಹುದು,asianet,1
 ಬಿಹಾರದ ಈ ಹಬ್ಬದಲ್ಲಿ ಮಹಿಳಾ ಪುರೋಹಿತರು! ವಿಶೇಷ ಆಚರಣೆ ಇದು,news18,1
Gold and Silver Price: ಹೀಗಿದೆ ಇಂದಿ ಚಿನ್ನ-ಬೆಳ್ಳಿ ದರ,asianet,1
ಪಶ್ಚಿಮ ಬಂಗಾಳದ ಹಳೆಯ ವೀಡಿಯೊವನ್ನು ಮುಂಬೈನ ರಸ್ತೆಯೊಂದರಲ್ಲಿ ಜನರು ಆಜಾನ್ ಪಠಿಸುವ ಇತ್ತೀಚಿನ ವೀಡಿಯೊ ಎಂದು ತಪ್ಪಾಗಿ ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ,factly,0
ಕ್ರೂರಿ ತಾಯಿ: ಆರು ವರ್ಷದ ಮಗಳ ಮೇಲೆ ಬಿಸಿ ಎಣ್ಣೆ ಸುರಿದ ಮಲತಾಯಿ,asianet,1
ಈ ವೀಡಿಯೊದಲ್ಲಿ ಭಾರತದ ಧ್ವಜವನ್ನು ತುಳಿಯುತ್ತಿರುವವರು ಭಾರತೀಯ ರೈತರಲ್ಲ,factly,0
"ಮೂರೂವರೆ ತಾಸಿನಲ್ಲಿ 18 ಸಾವಿರ ಕ್ಯುಸೆಕ್ ಒಳಹರಿವು ಹೆಚ್ಚಳ                              
                        ",prajavani,1
ದಲಿತ ಸ್ವಾಮೀಜಿ ಬಾಯಿಯಿಂದ ಎಂಜಲು ಅನ್ನವನ್ನು ತೆಗೆಸಿ ತಿಂದ ಶಾಸಕ ಜಮೀರ್,asianet,1
ಗೂಗಲ್‌ನ ಮೊದಲ ಫೋಲ್ಡಬಲ್ ಪಿಕ್ಸೆಲ್ ಫೋನ್ 2023ರಲ್ಲಿ ಬಿಡುಗಡೆ:  ವರದಿ,asianet,1
ಅಕ್ಟೋಬರ್ 24ರಿಂದ ಈ ಐಫೋನ್‌ಗಳಲ್ಲಿ ವಾಟ್ಸಪ್ ಬಂದ್,asianet,1
"ದೆಹಲಿ, ಮುಂಬೈ, ಯುಪಿ, ಗುಜರಾತ್‌ ಸೇರಿ ಹಲವೆಡೆ Al-Qaeda ಆತ್ಮಹತ್ಯಾ ದಾಳಿಯ ಬೆದರಿಕೆ  ",asianet,1
"ಟಿ.ಎಸ್.ಎಸ್. ಆಸ್ಪತ್ರೆ: ಕ್ಯಾನ್ಸರ್ ವಿಭಾಗ                              
                        ",prajavani,1
"Hapur Fire : ಉತ್ತರ ಪ್ರದೇಶದಲ್ಲಿ ಕೆಮಿಕಲ್ ಫ್ಯಾಕ್ಟರಿಯಲ್ಲಿ ಬೆಂಕಿ, 8 ಸಾವು",asianet,1
 ನಾಗರ ಪಂಚಮಿಯ ಮರುದಿನ ನಿಮ್ಮ ಅದೃಷ್ಟ ಹೇಗಿದೆ? ಜ್ಯೋತಿಷ್ಯ ಸಲಹೆ ಓದಿ,news18,1
ಇನ್ಫೋಸಿಸ್ ಅಧ್ಯಕ್ಷೆ ಸುಧಾ ಮೂರ್ತಿ ತರಕಾರಿ ಮಾರುವ ಫೋಟೋ ವೈರಲ್,asianet,0
 ಲಡಾಖ್‌ನಲ್ಲಿ ಭಾರತದ Mi-17 ಹೆಲಿಕಾಪ್ಟರ್ ಪತನ ,oneindia,0
 ಮುಕೇಶ್ ಅಂಬಾನಿ ಮೊಮ್ಮಗುವನ್ನು ನೋಡಲು ಮೋದಿ ಆಸ್ಪತ್ರೆಗೆ ಹೋಗಿದ್ದರೇ?,oneindia,0
"ಷೇರುದಾರ ಸ್ನೇಹಿ ಯೋಜನೆಗೆ ಒತ್ತು                              
                        ",prajavani,1
ಈ ಕಾಂಗ್ರೆಸ್ ನಾಯಕರು ಬಾಂಗ್ಲಾದೇಶದ ಪ್ರಧಾನಿಯೊಂದಿಗೆ ಸಭೆ ನಡೆಸಿದ್ದು ಮನಮೋಹನ್ ಸಿಂಗ್‌ರವರು ಪ್ರಧಾನಿಯಾಗಿದ್ದ ಅವಧಿಯಲ್ಲಿ ಅಲ್ಲ,factly,0
2019ರ ಹಳೆಯ ವಿಡಿಯೋವನ್ನು ಇತ್ತೀಚಿನ ರೈತರ ಪ್ರತಿಭಟನೆ ಎಂದು ಹಂಚಿಕೊಳ್ಳಲಾಗುತ್ತಿದೆ,factly,0
" ನೀರು ಕುಡಿಯುತ್ತಾ ಫೋನಲ್ಲಿ ಮಾತಾಡಬೇಡಿ, ಸ್ಪೋಟಗೊಂಡೀತು ಜೋಕೆ",asianet,0
ಪ್ರತಿಭಟನೆಯಲ್ಲಿ ಗುಂಡು ಹಾರಿಸಿದ ಮುಸ್ಲಿಮರು ಎಂದು ಹಳೆಯ ವಿಡಿಯೋ ಹಂಚಿಕೊಂಡ ಬಲಪಂಥೀಯ ಬೆಂಬಲಿಗರು,factly,0
 ರಸ್ತೆಗಾಗಿ ದೇವಸ್ಥಾನ ಕೆಡವಿ ಮಸೀದಿ ಉಳಿಸಿತೇ ಆಂಧ್ರ ಸರ್ಕಾರ?,prajavani,0
Maharashtra Political Crisis: ಶಾಸಕಾಂಗ ನಾಯಕ ಸ್ಥಾನದಿಂದ ರೆಬೆಲ್‌ ಶಿಂಧೆ ವಜಾ,asianet,1
