,news,source
49,"ಸಂಜಯ್‌ ರಾವುತ್‌ಗೆ ರಿಲೀಫ್‌ ನೀಡದ ಕೋರ್ಟ್‌, ಇನ್ನೂ ಮೂರು ದಿನ ED ಕಸ್ಟಡಿಗೆ ",asianet
50,"ಮ್ಯಾಗಿ, ಪೆನ್ಸಿಲ್, ರಬ್ಬರ್‌ ಎಲ್ಲದರ ರೇಟ್‌ ಜಾಸ್ತಿ ಆಗಿದೆ, ಮೋದಿಗೆ ಪತ್ರ ಬರೆದ 5 ವರ್ಷದ ಬಾಲಕಿ",asianet
51,"ಪಿಕ್ ಅಪ್ ವಾಹನದ ಡಿಜೆ ಸಿಸ್ಟಮ್‌ನಿಂದ ವಿದ್ಯುತ್ ಪ್ರವಹಿಸಿ 10 ಸಾವು, 16 ಮಂದಿ ಗಂಭೀರ",asianet
52,ಸಿಪಿಆರ್ ಮಾಡಲು ಕಲಿತ ಶ್ವಾನ: ಹಸ್ಕಿ ನಾಯಿಯ ಮುದ್ದಾದ ವಿಡಿಯೋ ವೈರಲ್,asianet
53,"ವೋಟರ್ ಐಡಿಗೆ ಆಧಾರ್ ಲಿಂಕ್, ತಿಳಿದುಕೊಳ್ಳಬೇಕು ಚುನಾವಣಾ ಆಯೋಗದ ಹೊಸ ಅಭಿಯಾನ",asianet
54," ಸಂಸತ್ತಿನಲ್ಲಿ ಇಂದಿನಿಂದ ಬೆಲೆ ಏರಿಕೆ ಚರ್ಚೆ, 15 ದಿನಗಳ ಬಿಕ್ಕಟ್ಟು ಅಂತ್ಯ ಸಾಧ್ಯತೆ",asianet
55,"ನಂಜನಗೂಡು ಬಲಿ ಹುಲಿ ದಾಳಿ: ದನಗಾಹಿ, ಹಸು ಸ್ಥಳದಲ್ಲೇ ಸಾವು",asianet
56,"ಇಡಿ ವಶಕ್ಕೆ ಪಡೆಯುವ ಮೊದಲು ಮಗನ ತಬ್ಬಿ ಧೈರ್ಯ ತುಂಬಿದ ಸಂಜಯ್ ರಾವತ್ ತಾಯಿ , ವಿಡಿಯೋ ವೈರಲ್",asianet
57,"ಐಸಿಸ್ ಜೊತೆ ನಂಟು ಆರೋಪ,  ಎನ್ಐಎ ವಶಕ್ಕೆ ಪಡೆದ ರಾಜ್ಯದ ಇಬ್ಬರು ಶಂಕಿತ ಆರೋಪಿಗಳ ಬಿಡುಗಡೆ",asianet
58,"ಭಾರತದಲ್ಲಿ ಮತ್ತೊಂದು ಮಂಕಿಪಾಕ್ಸ್ ಪ್ರಕರಣ ಶಂಕೆ, 8 ವರ್ಷದ ಬಾಲಕ ಆಸ್ಪತ್ರೆ ದಾಖಲು",asianet
59,"ಮಹಿಳೆ ಸೂಟ್‌ಕೇಸ್‌ನಲ್ಲಿ ವಿದೇಶಕ್ಕೆ ಹಾರಿದ 18 ಚೇಳು, ಹಿಂತಿರುಗಿಸಲು ವಿಮಾನ ಬುಕ್ ",asianet
60,ಕಾಳಿ‌ ಮಠದ ಋಷಿಕುಮಾರ್ ಸ್ವಾಮೀಜಿ ವಿರುದ್ಧ ಕಾನೂನು ಕ್ರಮ: ಎಡಿಜಿಪಿ ಅಲೋಕ್‌ ಕುಮಾರ್‌,asianet
61,DHFL Scam; ದೇಶದ ಅತಿದೊಡ್ಡ ಬ್ಯಾಂಕ್‌ ವಂಚನೆ ಆರೋಪಿ ಮನೆಯಲ್ಲಿ ಅಗಸ್ಟಾಹೆಲಿಕಾಪ್ಟರ್‌ ಸಿಬಿಐ ವಶಕ್ಕೆ,asianet
62,"ಗಣಿತದಲ್ಲಿ ತಪ್ಪು ಮಾಡಿದ ವಿದ್ಯಾರ್ಥಿನಿಗೆ ಥಳಿತ: ವಿಡಿಯೋ ವೈರಲ್‌, ಶಿಕ್ಷಕ ಅಮಾನತು",asianet
63,ಟ್ರಾಫಿಕ್‌ನಲ್ಲಿ ಮಕ್ಕಳ ರಸ್ತೆ ದಾಟಿಸುತ್ತೆ ಈ ಶ್ವಾನ... ನೋಡಿ ವೈರಲ್ ವಿಡಿಯೋ,asianet
64,One Nation One Ration Card ಯೋಜನೆಯಿಂದ ಅಂಗಡಿಗಳಿಗೆ  ತಲೆಬಿಸಿ,asianet
65,ಕೊಪ್ಪಳ: ಎಪಿಎಂಸಿಯಲ್ಲಿ ವಿಷ ಸೇವಿಸಿ ರೈತ ಆತ್ಯಹತ್ಯೆ,asianet
66,ಶಿವಸೇನಾ ಸಂಸದ ಸಂಜಯ್‌ ರಾವುತ್‌ ನಿವಾಸದ ಮೇಲೆ ಇಡಿ ದಾಳಿ: ಪರಿಶೀಲನೆ,asianet
67,ಪ್ರವೀಣ್‌ ನೆಟ್ಟಾರ್‌ ಹತ್ಯೆಗೆ 2 ತಿಂಗಳಿಂದಲೇ ಸ್ಕೆಚ್‌,asianet
68,ಪ್ರವೀಣ್‌ ಹತ್ಯೆ ಪ್ರಕರಣ: ಕೇರಳ ಮೂಲದ ಶಂಕಿತ ವ್ಯಕ್ತಿ ಪೊಲೀಸ್‌ ವಶಕ್ಕೆ,asianet
69,"ಗೆಳೆಯನ ಕಾರಿನಲ್ಲಿ ಬಂದಿಳಿದ ಹೆಂಡತಿ, ಸಂಬಂಧ ಕಲ್ಪಿಸಿ ಮರಕ್ಕೆ ಕಟ್ಟಿ ಥಳಿಸಿದ ಪತಿ",asianet
70,"ಶಾಂತಿ ಕದಡುವ ಪಿಎಫ್ಐ ನಿಷೇಧಿಸಿ, ಅಜಿತ್ ದೋವಲ್  ಸಭೆಯಲ್ಲಿ ಮುಸ್ಲಿಮ್ ನಾಯಕರ ನಿರ್ಣಯ",asianet
71,"ರಾಜ್ಯಪಾಲರ ವಿವಾದಾತ್ಮಕ ಹೇಳಿಕೆ, ಮರಾಠಿಗರ ಅವಮಾನ ಒಪ್ಪಲ್ಲ ಎಂದ ಸಿಎಂ ಶಿಂಧೆ",asianet
72,"ಫಾಜಿಲ್ ಹತ್ಯೆಗೆ ಸ್ಫೋಟಕ ಟ್ವಿಸ್ಟ್, ಯಾರನ್ನೋ ಟಾರ್ಗೆಟ್ ‌ಮಾಡಿ‌ ಮತ್ತಿನ್ಯಾರನ್ನೋ ಕೊಂದ ಹಂತಕರು",asianet
73,ಬೆಂಗಳೂರಲ್ಲಿ ಸೆರೆಸಿಕ್ಕ ಉಗ್ರರಿಗೆ ಅಲ್​ಖೈದಾ ಸಂಬಳ: ಬೆಚ್ಚಿ ಬೀಳಿಸುತ್ತೆ ಟೆರರಿಸ್ಟ್ ಬ್ಯಾಕ್‌ಗ್ರೌಂಡ್,asianet
74,2ನೇ ತರಗತಿಯ ವಿದ್ಯಾರ್ಥಿಯನ್ನು ಬಿಟ್ಟು ತರಗತಿಗೆ ಬೀಗ: 10 ಶಾಲಾ ಸಿಬ್ಬಂದಿ ಅಮಾನತು ,asianet
75,Praveen Nettaru Murder Case; ಕೇರಳದಲ್ಲಿ ಮೂರನೇ  ವ್ಯಕ್ತಿ ಬಂಧನ,asianet
76,ಗೃಹ ಸಚಿವ ಆರಗ ಜ್ಞಾನೇಂದ್ರ ಮನೆಗೆ ಮುತ್ತಿಗೆ; 40 ಎಬಿವಿಪಿ ಕಾರ್ಯಕರ್ತರ ಬಂಧನ,asianet
77,"ಪಾಪ್‌ ಬ್ಯಾಂಡ್‌ ಮಿರರ್ ತಂಡದ ಸದಸ್ಯನ ಮೇಲೆ ಕಳಚಿಬಿದ್ದ ದೈತ್ಯ ಪರದೆ, ವಿಡಿಯೋ ವೈರಲ್",asianet
78,ಮೊಬೈಲ್‌ ಕದಿಯಲು ಶೋ ರೂಂ ಟಾಯ್ಲೆಟಲ್ಲಿ ಇಡೀ ರಾತ್ರಿ ಕಳೆದ ಕಳ್ಳ..,asianet
79,ಆ.1ರಿಂದ ಕರ್ನಾಟಕದಲ್ಲಿ ವೋಟರ್‌ ಐಡಿ ಜೊತೆ ಆಧಾರ್‌ ನಂಬರ್‌ ಜೋಡಣೆ,asianet
80,ಹಾವೇರಿಯಲ್ಲಿ ವಿಷ ಸೇವಿಸಿದ್ದ ರೈತ ಸಾವು: ಪರಿಸ್ಥಿತಿ ಉದ್ವಿಗ್ನ,asianet
81,"ಆ್ಯಂಬುಲೆನ್ಸ್‌ನಲ್ಲಿ ಮಗುವನ್ನು ಆಸ್ಪತ್ರೆ ಸಾಗಿಸುವ ವೇಳೆ ಭೂಕುಸಿತ, ನೆರವಿಗೆ ಧಾವಿಸಿದ ಭಾರತೀಯ ಸೇನೆ",asianet
82,ನಾಳೆ 10 ಗಂಟೆಗೆ ಸಿಇಟಿ ಪರೀಕ್ಷಾ ಫಲಿತಾಂಶ ಪ್ರಕಟ,asianet
83,ದಿನವೂ ರಕ್ತದಲ್ಲೇ ಸ್ನಾನ: 600 ಹೆಣ್ಣುಮಕ್ಕಳನ್ನ ಕೊಂದ ಸಿರಿಯಲ್‌ ಕಿಲ್ಲರ್‌ ಕಹಾನಿ ,asianet
84,ತಮ್ಮ ಅಧಿಕಾರವಧಿಯಲ್ಲಿ ಕೋಮುಹಿಂಸಾಚಾರ ಮತ್ತು ಕೈಗೊಂಡ ಕ್ರಮಗಳ ದಾಖಲೆ ಬಿಚ್ಚಿಟ್ಟ ಸಿದ್ದು,asianet
85,ಪ್ರವೀಣ್ ಹತ್ಯೆ ಕೇಸ್: ಆರೋಪಿಗಳ ಅರೆಸ್ಟ್ ಆದ ಮೇಲೆ ಬೆಳ್ಳಾರೆಯಲ್ಲಿ ಏನೇನಾಯ್ತು..? ,asianet
86,"ಸರ್ಕಾರಿ ಶಾಲೆಗಳಲ್ಲಿ ಭಾನುವಾರದ ಬದಲು ಶುಕ್ರವಾರ ರಜೆ, ಬಿಹಾರ-ಜಾರ್ಖಂಡ್‌ನಲ್ಲಿ ಕೋಲಾಹಲ",asianet
87,"ಪ್ಲೇ ಸ್ಟೋರ್‌, ಆಪಲ್‌ ಸ್ಟೋರ್‌ನಿಂದ 'ಬ್ಯಾಟಲ್‌ಗ್ರೌಂಡ್ಸ್ ಮೊಬೈಲ್ ಇಂಡಿಯಾ' ಬ್ಯಾನ್",asianet
88,"ಹೃದಯಾಘಾತದಿಂದ ತಂದೆಯ ಸಾವು, ಶವಕ್ಕೆ ಕುಂಕುಮ ಹಚ್ಚಿ ಆಟವಾಡುತ್ತಿದ್ದ ಪುಟ್ಟ ಮಕ್ಕಳು",asianet
89,Breaking ಪ್ರವೀಣ್ ನೆಟ್ಟಾರ್ ಹತ್ಯೆ ಪ್ರಕರಣ NIAಗೆ ಹಸ್ತಾಂತರ,asianet
90,"Vijayanagara Crime; ಕುತ್ತಿಗೆಗೆ ಹಗ್ಗ ಬಿಗಿದು ಯುವಕನ ಹತ್ಯೆ ಶಂಕೆ, ಘಟನಾ ಸ್ಥಳಕ್ಕೆ ಶ್ವಾನದಳ ಭೇಟಿ",asianet
91,ಬೆಳಗಾವಿ: ಹುಡುಗಿ ಹೆಸರಲ್ಲಿ ಅಕೌಂಟ್‌ ಸೃಷ್ಟಿಸಿ ಹಣ ಪಿಕುತ್ತಿದ್ದವನ ಬಂಧನ,asianet
92,"ತಂದೆ ಮಾಡಿದ ಸಾಲಕ್ಕಾಗಿ ಇಬ್ಬರು ಮಕ್ಕಳು ಜೀತ, ದಂಪತಿ ಸೆರೆ",asianet
93,"ಪ್ರವೀಣ್‌ ಪತ್ನಿಗೆ ಸರ್ಕಾರಿ ಕೆಲಸ, ಮನೆ: ವಿಜಯೇಂದ್ರ",asianet
94,"ಇದು ಭಯೋತ್ಪಾದನೆ ಕೃತ್ಯ, ಅಗತ್ಯಬಿದ್ದರೆ ಎನ್‌ಐಎ ತನಿಖೆ: ಸಿಎಂ ಬೊಮ್ಮಾಯಿ",asianet
95,"ಪಿಎಫ್‌ಐ, ಎಸ್‌ಡಿಪಿಐ ನಿಷೇಧಕ್ಕಾಗಿ ರಾಜ್ಯವ್ಯಾಪಿ ಹೋರಾಟ: ಪ್ರಮೋದ್‌ ಮುತಾಲಿಕ್‌",asianet
96,ಮಂಗಳೂರಲ್ಲಿ ಚಾಕು ಇರಿದು ಯುವಕನ ಭೀಕರ ಹತ್ಯೆ: 4 ಠಾಣೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ನಿಷೇಧಾಜ್ಞೆ ಜಾರಿ ,asianet
97,"ಮಗುವಿನೊಂದಿಗೆ ತಾಯಿ ಆತ್ಮಹತ್ಯೆಗೆ ಯತ್ನ, ಪೊಲೀಸ್ ಸಿಬ್ಬಂದಿಯ ಸಮಯ ಪ್ರಜ್ಞೆಗೆ ಉಳಿದ ಪ್ರಾಣ",asianet
98,"ಹದಿ ವಯಸ್ಸಿನ ಗರ್ಭಧಾರಣೆ ಹೆಚ್ಚಳ, ಗರ್ಭಪಾತದ ಬಗ್ಗೆ Indian Law ಹೇಳೋದೇನು ?",asianet
99,Weird News: ಜೈಲಿನಲ್ಲಿ ಇಬ್ಬರು ಮಹಿಳೆಯರನ್ನು ಗರ್ಭಿಣಿ ಮಾಡಿದ ಮಂಗಳಮುಖಿ ಖೈದಿ,asianet
100,ನಾಲಗೆಗೆ ಕತ್ತರಿ ಎದೆಗೆ ಸರ್ಜರಿ: ಈ ಟ್ಯಾಟೂ ಲೇಡಿ ದೇಹದಲ್ಲಿ ಜಾಗ ಇಲ್ಲ ಖಾಲಿ,asianet
101,"ಸಕ್ಕರೆ ನಾಡಲ್ಲಿ ಮತ್ತೆ ಹರಿದ ನೆತ್ತರು, ಆಶ್ರಯ ನೀಡಿದ್ದ ಸ್ನೇಹಿತನ ಕತ್ತು ಕೊಯ್ದ ಕಿರಾತಕ",asianet
102,ಅಮೆರಿಕದಲ್ಲಿಒಂದೇ ದಿನ ದಾಖಲೆಯ 1048 ಹೊಸ ಪ್ರಕರಣಗಳು ಪತ್ತೆ; ಭಾರತದಲ್ಲೂ ಹೆಚ್ಚಿದ ಆತಂಕ,asianet
103,Praveen Nettaru Murder Case: ಅಂತಿಮ ಯಾತ್ರೆ ವೇಳೆ ಭುಗಿಲೆದ್ದ ಬಿಜೆಪಿ ಕಾರ್ಯಕರ್ತರ ಆಕ್ರೋಶ,asianet
104,National Herald Case: ಸೋನಿಯಾ ವಿಚಾರಣೆ ಖಂಡಿಸಿ ಬೀದಿಗಿಳಿದ ಕಾಂಗ್ರೆಸ್‌,asianet
105,Droupadi Murmu: ಒಡಿಶಾ ಆದಿವಾಸಿ ಮಹಿಳೆ ಈಗ 'ಮಹಾಭಾರತ' ದ 15ನೇ ರಾಷ್ಟ್ರಪತಿ,asianet
106,300 ವರ್ಷಗಳ ಬಳಿಕ ಅಂಗೋಲಾದಲ್ಲಿ ಸಿಕ್ತು ಅತಿ ದೊಡ್ಡ ಪಿಂಕ್‌ ವಜ್ರ.. ,asianet
107,"ಮೋದಿ ಪತ್ರಕ್ಕೆ ಮಾಜಿ ರಾಷ್ಟ್ರಪತಿ ಕೋವಿಂದ್ ಭಾವುಕ, ನೆನಪಿನ ಬುತ್ತಿ ಬಿಚ್ಚಿಟ್ಟ ಪ್ರಧಾನಿ",asianet
108,"ಕಾರ್ಗಿಲ್ ವಿಜಯ ದಿವಸಕ್ಕೆ 23 ವರ್ಷ, ಎಲ್ಲೂ ಕೇಳಿರದ ಕಾರ್ಗಿಲ್ ರಣಕಲಿಗಳ ಕಥಾನಕ",asianet
109,ವೇಶ್ಯಾವಾಟಿಕೆ ನಡೆಸುತ್ತಿದ್ದ ಆರೋಪ: ಬಿಜೆಪಿ ನಾಯಕ ಅರೆಸ್ಟ್‌..,asianet
