news,label
PHOTOS: ಪ್ರಿಯಾಂಕಾ ಚೋಪ್ರಾ- ನಿಕ್​ ಮದುವೆಯಾಗಲಿರುವ ಅರಮನೆ ಹೇಗಿದೆ ಗೊತ್ತಾ?,1
ದುನಿಯಾ ವಿಜಿ ಜೈಲಿನಲ್ಲಿ ಕಣ್ಣೀರಿಡುತ್ತಿರುವುದು ಏಕೆ ಗೊತ್ತಾ?,1
"India vs New Zealand 2nd T20I, Live Cricket Score: ಭಾರತಕ್ಕೆ 7 ವಿಕೆಟ್​ಗಳ ಭರ್ಜರಿ ಜಯ; ಸರಣಿ ಸಮಬಲ",1
 ಜಪಾನ್‌ ನ ಮೌಂಟ್ ಫ್ಯುಜಿ ಬಳಿ 2020 ರ ಒಲಿಂಪಿಕ್ ಕ್ರೀಡಾಕೂಟಕ್ಕಾಗಿ ಸಿದ್ಧಪಡಿಸಿದ ಪಟಾಕಿ ಪ್ರದರ್ಶನದ ವಿಡಿಯೋ,0
ವಿಶ್ವದ ಲೆಜೆಂಡ್​ ಆಟಗಾರನನ್ನು ಭೇಟಿಯಾದ ವಿರುಷ್ಕಾ ಜೋಡಿ,1
ಬಿಡುಗಡೆಗೂ ಮೊದಲೇ ಯಜಮಾನ ದಾಖಲೆ; ‘ಡಿ ಬಾಸ್‘ ಅಭಿಮಾನಿಗಳಿಗೆ ಇದು ಹಬ್ಬದ ಸಮಯ!,1
 ಅಯೋಧ್ಯೆಯ ರಾಮಮಂದಿರ ನಿರ್ಮಾಣದ ಸ್ಥಳದಲ್ಲಿ 2000 ಅಡಿ ಕೆಳಗೆ ಟೈಮ್ ಕ್ಯಾಪ್ಸುಲ್ ಹೂಳಲಾಗಿದೆ,0
 ಮಿಯಾ ಖಲೀಫಾಗೆ ಕಾಂಗ್ರೆಸ್ ಕಾರ್ಯಕರ್ತರು ಕೇಕ್\u200c ತಿನ್ಸಿದ್ರಾ?'],0
ಫ್ಯಾಕ್ಟ್‌ಚೆಕ್‌: ಪ್ರತ್ಯೇಕ ದೇಶಕ್ಕಾಗಿ ಆಗ್ರಹ,0
 ಮಹಾರಾಷ್ಟ್ರದಲ್ಲಿದೆ ಬೋಟ್\u200c ಆ್ಯಂಬುಲೆನ್ಸ್\u200c!'],0
ಎಂಗೇಜ್​ ಆದ 'ವಿಲನ್' ಬೆಡಗಿ; ಪ್ರಿಯಕರನೊಂದಿಗಿನ ಫೋಟೋ ಹಾಕಿ ಹೊಸ ಸುದ್ದಿ ಕೊಟ್ಟ ಆ್ಯಮಿ ಜಾಕ್ಸನ್,1
ಜಿಯೋಫೋನ್​ 2 ಮಾರಾಟಕ್ಕೆ ಇನ್ನೆರಡು ದಿನ ಬಾಕಿ,1
ಐಪಿಎಲ್ ಫೀವರ್ ಶುರು: ಬೆಂಗಳೂರಿನಲ್ಲಿ ಕೊಹ್ಲಿ-ಎಬಿಡಿ ಪೋಸ್ಟರ್​​ಗೆ ಹಾಲಿನ ಅಭಿಷೇಕ,1
 ಪ್ರತಿಭಟನೆ ವೇಳೆ ಬಿಜೆಪಿ ನಾಯಕ ಮನೋಜ್ ತಿವಾರಿ ಮೇಲೆ ಹಲ್ಲೆ? ,0
 ಪ್ರತಿಭಟನೆ ಮಾಡುತ್ತಿರುವ ರೈತರು ರಾಷ್ಟ್ರಧ್ವಜವನ್ನು ಅವಮಾನಿಸಿದರೇ?,0
 ಗೌತಮ್ ಅದಾನಿಯವರ ಪತ್ನಿ ಪ್ರೀತಿ ಅದಾನಿಗೆ ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ ವಿದೇಯನಾಗಿ ನಮಸ್ಕರಿಸುವ ಚಿತ್ರ,0
4ನೇ ಟೆಸ್ಟ್​: ಭಾರತ vs ಆಸ್ಟ್ರೇಲಿಯಾ ನಡುವಣ ಮೂರನೇ ದಿನದಾಟದ ಚಿತ್ರಪಟಗಳು,1
17 ವರ್ಷಗಳ ನಂತರ ಶಾರುಖ್​-ಸಲ್ಲುರನ್ನು ತೆರೆ ಮೇಲೆ ಒಂದು ಮಾಡಲಿರುವ ನಿರ್ದೇಶಕ ಬನ್ಸಾಲಿ..!,1
ರಷ್ಯಾ ಓಪನ್ ಬ್ಯಾಡ್ಮಿಂಟನ್: ಚಾಂಪಿಯನ್ ಪಟ್ಟ ಮುಡಿಗೇರಿಸಿಕೊಂಡ ಸೌರಭ್​ ವರ್ಮಾ,1
ಬಾಲಿವುಡ್​ ದುರಂತ ನಾಯಕಿಯ 85ನೇ ಹುಟ್ಟುಹಬ್ಬಕ್ಕೆ ಶುಭ ಕೋರಿದ ಗೂಗಲ್​,1
ಪಾತ್ರಕ್ಕಾಗಿ ಪಲ್ಲಂಗ: ನಿರ್ದೇಶಕಿಯ ಮೇಲೆ ಅತ್ಯಾಚಾರ ಮಾಡಿದ ಮತ್ತೋರ್ವ ನಟ ಯಾರು ಗೊತ್ತಾ?,1
ಸಂದೇಶದ ಜತೆಗೆ ವೀಕ್ಷಕರನ್ನು ಕಾಡುವ ಥ್ರಿಲ್ಲರ್​ ಕಮರ್ಷಿಯಲ್​ ಚಿತ್ರ ಚಂಬಲ್ |  ಭಾಗ - 3,1
ಬ್ಯಾಟಿಂಗ್​ನಲ್ಲಿ ರೋ'ಹಿಟ್' ಮಿಂಚು: ಬೌಲಿಂಗ್​ನಲ್ಲಿ​ ಕುಲ್ದೀಪ್ ಅಬ್ಬರ: ಇಂಗ್ಲೆಂಡ್ ವಿರುದ್ಧ ಭಾರತಕ್ಕೆ 8 ವಿಕೆಟ್​ಗಳ ಭರ್ಜರಿ ಜಯ,1
ಸಹಾಯಕ್ಕಾಗಿ ಟ್ವೀಟ್​ ಮಾಡಿದ ಕೇರಳದ ಅಭಿಮಾನಿ: ಒಂದು ಕೋಟಿ ನೆರವು ನೀಡಿದ ನಟ ಸುಶಾಂತ್​!,1
ದೀಪಾವಳಿ ಧಮಾಕ:  ಹೊಚ್ಚ ಹೊಸ 8 ಆಫರ್​ಗಳನ್ನು ಘೋಷಿಸಿದ 'ಜಿಯೋ',1
ಅಮೆರಿಕದಲ್ಲಿ ಬಂಧಿತರಾಗಿರುವ ಟಾಲಿವುಡ್​ ವೇಶ್ಯಾವಾಟಿಕೆ ಜಾಲದಿಂದ ಆಫರ್​ ಬಂದಿತ್ತು: ಶ್ರೀರೆಡ್ಡಿ,1
: ಮುಸ್ಲಿಮರ ಓಲೈಕೆಗೆ ಮುಂದಾಯಿತೇ ಮಹಾರಾಷ್ಟ್ರ ಸರ್ಕಾರ?,0
 ಎಎಪಿ ಪಾವತಿಸಿದ ಕಾರ್ಯಕರ್ತರನ್ನು ರೈತರ ಪ್ರತಿಭಟನೆಗೆ ನೀಡುತ್ತಿದೆ,0
ವಿಂಬಲ್ಡನ್ 2018: ಕ್ವಾರ್ಟರ್​​ಫೈನಲ್​ಗೆ ಲಗ್ಗೆ ಇಟ್ಟ ರೋಜರ್ ಫೆಡರರ್,1
 ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷವು ಲಖಿಂಪುರದಲ್ಲಿ ರೈತರ ಮೇಲೆ ಕಾರು ಹರಿಸಲು ಹಣ ನೀಡಿದೆ,0
ಕೊನೆಯ ಎಸೆತದಲ್ಲಿ ಆಸೀಸ್​ಗೆ ರೋಚಕ ಗೆಲುವು; ತವರಿನಲ್ಲಿ ಭಾರತಕ್ಕೆ ಆರಂಭಿಕ ವಿಘ್ನ,1
 ‘ಕಬರ್ ಬಿಜ್ಜು’ ಪ್ರಾಣಿ ಮನುಷ್ಯರಂತೆ ಅಳುವುದು ವಿಡಿಯೋ,0
ಭಾರತ ಹಾಗೂ ಆಸ್ಟ್ರೇಲಿಯಾ ನಡುವಣ ಮೊದಲ ಏಕದಿನ ಪಂದ್ಯದ ಕೆಲ ಚಿತ್ರಪಟಗಳು,1
 ಜಾಮಿಯಾ ಮಿಲಿಯಾ ಇಸ್ಲಾಮಿಯಾ ವಿಶ್ವವಿದ್ಯಾಲಯದ ವಿದ್ಯಾರ್ಥಿನಿ ಶಕೀರ್ ಸಿಎಎ ವಿರುದ್ಧದ ಪ್ರತಿಭಟನೆಯ ಸಂದರ್ಭದಲ್ಲಿ ನಿಧನರಾದರು,0
 ರಷ್ಯಾ ಕೋವೀಡ್ -19 ಖಾಯಿಲೆಗೆ ಲಸಿಕೆ ಕಂಡುಹಿಡಿದಿದೆ,0
"ಜುಲೈ 18ರಂದು ಮಾರುಕಟ್ಟೆಗೆ ಬರಲಿದೆ ಚೆನ್ನೈನಲ್ಲಿ ನಿರ್ಮಿಸಿರುವ BMW G 310 R, ಬೈಕ್​",1
ಫಿಫಾ ವಿಶ್ವಕಪ್ ಪಂದ್ಯಾವಳಿಗೆ ಇಂದು ಚಾಲನೆ: 30 ದಿನಗಳ ಕಾಲ್ಚೆಂಡಿನಾಟಕ್ಕೆ ರಷ್ಯಾ ಸಜ್ಜು,1
ಶ್ರುತಿ ವಿರುದ್ಧದ ಮಾನನಷ್ಟ ಮೊಕದ್ದಮೆ: ನಾಳೆಗೆ ವಿಚಾರಣೆ ಮುಂದೂಡಿದ ನ್ಯಾಯಾಲಯ,1
['Fact Check| ಕೊರೋನಾ ನಿಗ್ರಹಕ್ಕೆ ಐಎಂಸಿಆರ್\u200c ಸಲಹೆ!'],0
 5 ಹಂತದಲ್ಲಿ ಲಾಕ್ಡೌನ್\u200c ಸಡಿಲಿಕೆಗೆ ಮುಂದಾಗಿದ್ಯಾ ಕೇಂದ್ರ ಸರ್ಕಾರ?'],0
ಭಾರತ vs ವೆಸ್ಟ್​ ಇಂಡೀಸ್ 2ನೇ ಏಕದಿನ: ಮಹಾಸಮರಕ್ಕೆ ತಯಾರಾಗಿದೆ ವಿಶಾಖಪಟ್ಟಣ,1
['ಮುಖೇಶ್\u200c ಅಂಬಾನಿ ಸೊಸೆಗೆ ಚಿನ್ನದ ಕಾರು ಕೊಟ್ಟಿದ್ದು  ನಿಜವೇ?'],0
 T20ಯಲ್ಲಿ ಭಾರತದ ಸೋಲು ಸಹಿಸದ ಯುವಕನಿಂದ ಟಿವಿ ಧ್ವಂಸ?,0
 ಚಾಮರಾಜನಗರ ಜಿಲ್ಲಾ ಪೊಲೀಸ್ ವರಿಷ್ಠಾಧಿಕಾರಿ ದಿವ್ಯಾ ಸಾರಾ ಥಾಮಸ್‌ರವರು ಹಿಂದೂ ದೇವಾಲಯದಲ್ಲಿ ಏಸು ಫೋಟೊ ಇಟ್ಟು ಒತ್ತಾಯವಾಗಿ ಪೂಜೆ ಮಾಡಿಸಿದ್ದಾರೆ,0
 ಬೆಂಗಳೂರಿನ ವಿಮಾನ ನಿಲ್ದಾಣದ ಬಳಿ ಹಕ್ಕಿಗಳು ಗುಂಪು ಗುಂಪಾಗಿ ಹಾರಾಡುತ್ತಿರುವ ವಿಡಿಯೊ,0
 ಭಾರತದಿಂದ  ಆಕ್ಸಿಜನ್ ರಫ್ತು ಪ್ರಮಾಣ ಶೇ. 700 ರಷ್ಟು ಏರಿಕೆ ವರದಿ ಸುಳ್ಳು!'],0
" ಅತ್ಯಾಚಾರ ಮೊದಲಾದ ತೀವ್ರತರವಾದ ಪ್ರಕರಣಗಳಲ್ಲಿ ಸಂತ್ರಸ್ತೆಯ  ಗುರುತನ್ನು ಬಹಿರಂಗ ಮಾಡುವ ಹೆಸರು, ಫೋಟೋ ಇತರೆ ಸುದ್ದಿಯನ್ನು ಮುದ್ರಿಸುವುದು ಅಥವಾ ಪ್ರಕಟ ಮಾಡುವುದು ಇಂಡಿಯನ್‌ ಪೀನಲ್‌ ಕೋಡ್‌ ( IPC) ಸೆಕ್ಷನ್‌ 228(A) ಪ್ರಕಾರ ಅಪರಾಧ. ಅಷ್ಟೇ ಅಲ್ಲ ಪ್ರಿಂಟ್‌, ಎಲೆಕ್ಟ್ರಾನಿಕ್‌, ಸಾಮಾಜಿಕ ಜಾಲತಾಣ ಮುಂತಾದವುಗಳಲ್ಲಿ ಯಾರಾದರೂ ಸಂತ್ರಸ್ತೆಯ ಗುರುತನ್ನು ಬಹಿರಂಗಗೊಳಿಸುವ ಹೆಸರು ಅಥಾವ ಇನ್ಯಾವುದದಾರೂ ವಿಷಯಗಳನ್ನು ಮುದ್ರಿಸುವುದು ಅಥವಾ ಪ್ರಚಾರ ಮಾಡುವುದು ಅಪರಾಧ ಎಂದು  2018ರಲ್ಲಿ ಸುಪ್ರೀಂಕೋರ್ಟ್‌  ತೀರ್ಪು ಹೇಳಿದೆ",0
 ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಸಾಮಾಜಿಕ ಅಂತರದ ಫೋಟೋವನ್ನು ಮಣಿಪುರದಲ್ಲಿ (ಭಾರತ) ತೆಗೆದುಕೊಳ್ಳಲಾಗಿದೆ,0
 ಈ ಕಾಲೇಜುಗಳಲ್ಲಿ ವಿದ್ಯಾರ್ಥಿನಿಯರಿಗೆ ಬಾಯ್‌ಫ್ರೆಂಡ್ ಕಡ್ಡಾಯ!,0
ಈ ವಾರ ತೆರೆಕಾಣಲಿರುವ ಸಿನಿಮಾಗಳ ವಿವರ,1
 ಹುಷಾರ್ ! ನಕಲಿ ನೌಕರಿ ಕೊಡಿಸುವ ವಾಟ್ಸಾಪ್ ಸಂದೇಶಕ್ಕೆ ಬಲಿಯಾಗಬೇಡಿ ,0
['ಶಾಲಾ-ಕಾಲೇಜುಗಳಿಗೆ 15 ದಿನ ರಜೆನಾ? ಸುತ್ತೋಲೆ ಬಗ್ಗೆ ಶಿಕ್ಷಣ ಇಲಾಖೆ ಸ್ಪಷ್ಟನೆ'],0
India vs New Zealand: ಕಿವೀಸ್ ನಾಡಲ್ಲಿ ಸಚಿನ್ ದಾಖಲೆ ಪುಡಿ ಮಾಡ್ತಾರ ಧೋನಿ..?,1
Video: ರಣವೀರ್​-ದೀಪಿಕಾ ವಿವಾಹಕ್ಕೆ ಕಂಟಕ: ಬೆಂಗಳೂರಿನಲ್ಲೇ ನಡೆಯಲಿದೆ ವಿಶೇಷ ಪೂಜೆ..!,1
'ಕ್ರಿಕೆಟ್ ಆಚೆಗೂ ಬದುಕು ಇದೆ': ಫಸ್ಟ್​ ಕ್ಲಾಸ್ ಕ್ರಿಕೆಟ್​ಗೆ ಗೇಲ್ ವಿದಾಯ..!,1
ಒಲಂಪಿಕ್ಸ್,1
ವರ್ಷದ ಕನ್ನಡಿಗ ಕಾರ್ಯಕ್ರಮವನ್ನು ಕುರಿತು ತಮ್ಮ ಅಭಿಪ್ರಾಯವನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದ ರಾಮಚಂದ್ರಪ್ಪ,1
 ಮಾರ್ಚ್ 2021ರವರೆಗೆ ಕೊರೊನಾ ಲಸಿಕೆ ಖರೀದಿಸಿಯೇ ಇರಲಿಲ್ಲ ಭಾರತ? ,0
['Fact Check| ಡಾ. ದೇವಿ ಶೆಟ್ಟಿ ನೀಡಿದ 22 ಸಲಹೆಗಳು!'],0
ಭಾರತ-ಇಂಗ್ಲೆಂಡ್ ಟೆಸ್ಟ್: ಗೆಲುವಿನ ಸನಿಹದಲ್ಲಿ ವಿರಾಟ್ ಸೈನ್ಯ,1
‘4 ಓವರ್​​ಗೆ 70 ರನ್’; ಐಪಿಎಲ್ ಇತಿಹಾಸದಲ್ಲೇ ಗರಿಷ್ಠ ರನ್ ನೀಡಿದ ಬೌಲರ್ ಯಾರು ಗೊತ್ತಾ?,1
['Fact Check| ಭೀಮನ ಮಗ ಘಟೋತ್ಕಜನ ಅಸ್ಥಿ!'],0
ಮೊದಲ ಸುತ್ತಿನಲ್ಲೇ ಸೋತ ಸಿಂಧು: ಸೈನಾಗೆ ಮುನ್ನಡೆ,1
"'ದಿ ವಿಲನ್'​ ಚಿತ್ರದ  ಟೀಸರ್​ ಬಿಡುಗಡೆ; ಹೊಸ ಗೆಟಪ್​ನಲ್ಲಿ ಸುದೀಪ್​, ಶಿವಣ್ಣ",1
 ಪ್ರಧಾನಮಂತ್ರಿ ಕಲ್ಯಾಣ ನಿಧಿಗೆ ಕಾಶ್ಮೀರ ಫೈಲ್ಸ್\u200c ತಂಡ ₹200 ಕೋಟಿ ದೇಣಿಗೆ ನೀಡಿದ್ದು ಸುಳ್ಳು   '],0
['ತನಿಷ್ಕ ಆಭರಣದ ಅಂಗಡಿ ಮೇಲೆ ದಾಳಿ,0
" ಓವೈಸಿಗೆ ಅಮಿತ್\u200c ಶಾ ಕೃತಜ್ಞತೆ ಸಲ್ಲಿಸಿದ್ರಂತೆ, ಯಾಕಾಗಿ..?']",0
 ದೆಹಲಿಯ ಮುಂಡ್ಕಾದಲ್ಲಿ ಸಂಭವಿಸಿದ ಅಗ್ನಿ ಅವಘಡದ ಸಂದರ್ಭದಲ್ಲಿ 50 ಜನರನ್ನು ರಕ್ಷಿಸಿದ ದಯಾನಂದ ತಿವಾರಿ ಅವರ ಕೆಚ್ಚೆದೆಯ ಕಾರ್ಯವನ್ನು ಮಾಧ್ಯಮಗಳು ವರದಿ ಮಾಡಲಿಲ್ಲ,0
ಶಬರಿಮಲೆಗೆ ಮಹಿಳೆಯರ ಪ್ರವೇಶ; ಮೊದಲ ಬಾರಿ ಮೌನ ಮುರಿದ ನಟ ರಜನಿಕಾಂತ್​ ಹೇಳಿದ್ದೇನು?,1
 ವಾರಾಣಸಿಯ ನಂದಿ ವಿಗ್ರಹ ಎನ್ನಲಾದ ವೈರಲ್\u200c ಫೋಟೋ ಮಹಾರಾಷ್ಟ್ರದ್ದು'],0
" ಸೊಮಾಲಿಯಾ ಬಾಳೆಹಣ್ಣುಗಳಲ್ಲಿ ಹೆಲಿಕೋಬ್ಯಾಕ್ಟರ್ ಎಂಬ ಹುಳುಗಳಿದ್ದು, ಅದನ್ನು ಸೇವಿಸಿದ 12 ಗಂಟೆಗಳಲ್ಲಿ ಮನುಷ್ಯ ಮೆದುಳು ನಿಷ್ಕ್ರಿಯತೆಯಿಂದ ಸಾಯುತ್ತಾನೆ ಎಂಬ ಹೇಳಿಕೆಯುಳ್ಳ ವಿಡಿಯೋ",0
"['ಬೈಕ್, ಟಿವಿ, ಫ್ರಿಡ್ಜ್ ಇದ್ದವರ BPL ಕಾರ್ಡ್\u200b ರದ್ದಾಗುತ್ತಾ? ಇಲ್ಲಿದೆ ಇದರ ಸತ್ಯಾಸತ್ಯತೆ']",0
ವಿರಧವಲ್ ಖಾಡೆಗೆ ಪದಕ ಕೈತಪ್ಪಲು ಸರಕಾರದ ಕುರುಡು ನಿಯಮ ಕಾರಣವಾಯಿತೇ?,1
ಫಿಫಾ ವಿಶ್ವಕಪ್ 2018: ಹಾಲಿ ಚಾಂಪಿಯನ್ ಜರ್ಮನಿಗೆ ಶಾಕ್ ನೀಡಿದ ಮೆಕ್ಸಿಕೋ,1
PHOTOS: 47ನೇ ವಯಸ್ಸಿನಲ್ಲಿ ಮದುವೆಯಾಗಲು ಮನಸ್ಸು ಮಾಡಿದ ಬಾಲಿವುಡ್​ ನಟಿ..!,1
ರಣವೀರ್​ ಸಿಂಗ್​ ಮನೆಯಲ್ಲಿ ಅರಿಶಿಣ ಶಾಸ್ತ್ರದ ಸಂಭ್ರಮ,1
 ಕರೌಲಿ ಮಸೀದಿಯ ಮುಂದೆ ಹಿಂದೂ ಗುಂಪು,0
ನಟ ರಣವೀರ್​ ಸಿಂಗ್​ ಸದ್ಯ ಐಪಿಎಲ್​ ಸಮಾರಂಭದಲ್ಲಿ ಡಾನ್ಸ್​ ಮಾಡುತ್ತಿಲ್ಲ!,1
ಏಷ್ಯನ್ ಗೇಮ್ಸ್ 2018: 5ನೇ ದಿನ ಮೂರು ಪದಕ: 10ನೇ ಸ್ಥಾನಕ್ಕೆ ಕುಸಿದ ಭಾರತ,1
ಗೂಗಲ್​ನ ಹೊಸ ಆಪರೇಟಿಂಗ್​ ಸಿಸ್ಟಂಗೆ ಪಿಸ್ತಾ ಹೆಸರು?,1
ನಿಮ್ಮ ಪ್ಯಾನ್ ಮತ್ತು ಆಧಾರ್ ಕಾರ್ಡ್ ಲಿಂಕ್ ಆಗಿದೆಯೇ? ಇಲ್ಲದಿದ್ರೆ ತೊಂದರೆ ಗ್ಯಾರೆಂಟಿ!,1
ಕಂಕಣ ಭಾಗ್ಯ: ನಟಿ ಅನಿಶಾ ಜತೆ ಸಪ್ತಪದಿ ತುಳಿಯಲಿರುವ ತಮಿಳು ನಟ ವಿಶಾಲ್​..!,1
35ನೇ ಶತಕ ಸಿಡಿಸಿದ ವಿರಾಟ್ ಕೊಹ್ಲಿ: ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ವಿರುದ್ಧ ಭಾರತಕ್ಕೆ 5-1 ಅಂತರದ ಸರಣಿ ಜಯ,1
 ಕಂಗನಾ ರಣಾವತ್ ಬಗ್ಗೆ ರಿಹಾನ್ನಾ ಟ್ವೀಟ್ ಮಾಡಿದ್ದಾರೆ,0
ಟಿ-20 ಕ್ರಿಕೆಟ್​​ಗೆ ನಿವೃತ್ತಿ ಘೋಷಿಸಿದ ಜೂಲನ್ ಗೋಸ್ವಾಮಿ,1
ರೆಬೆಲ್ ಪುತ್ರನ ಚಿತ್ರಕ್ಕೆ ಮುಹೂರ್ತ ಫಿಕ್ಸ್: ಅಪ್ಪನ ಹೆಸರೇ ಮಗನ ಚಿತ್ರದ ಟೈಟಲ್,1
 ಕೋವಿಡ್ 19 ಕುರಿತು ಹೊಸ ಮಾರ್ಗಸೂಚಿ ಪ್ರಕಟಿಸಿತೇ ರಾಜ್ಯ ಸರ್ಕಾರ ,0
ಕತ್ರಿನಾ ಹುಟ್ಟುಹಬ್ಬಕ್ಕೆ ಭಾವಾನಾತ್ಮಕ ಪೋಸ್ಟ್ ಬರೆದ​ ಮಾಡಿದ ದೀಪಿಕಾ ಪಡುಕೋಣೆ!,1
ಐಪಿಎಲ್​​ ಸಂಡೇ ಧಮಾಕ: ಕೋಲ್ಕತ್ತಾಗೆ ಮುಂಬೈ ಸವಾಲು: ಅಶ್ವಿನ್ ಪಡೆಗೆ ರಹಾನೆ ಚಾಲೆಂಜ್​,1
Kingfisher Calendar-2019: ಹಾಟ್​ ಹಾಟ್​ ಮಾಡೆಲ್​ಗಳ ಬೋಲ್ಡ್ ಫೋಟೋಶೂಟ್​..!,1
ರಿಲೀಸ್​ ಆಯಿತು `ವಾಸು ನಾನ್ ಪಕ್ಕಾ ಕಮರ್ಷಿಯಲ್' ಸಿನಿಮಾದ ಟ್ರೇಲರ್,1
 ಮುಕೇಶ್ ಅಂಬಾನಿ ಮೊಮ್ಮಗುವನ್ನು ನೋಡಲು ಮೋದಿ ಆಸ್ಪತ್ರೆಗೆ ಹೋಗಿದ್ದರೇ?,0
"ಬರುತ್ತಿದೆ ಶಿಯೋಮಿ ಹೊಸ ಮೊಬೈಲ್​, ಏನಿದೆ ಅಪ್​ಡೇಟ್​?",1
ದೀಪಿಕಾರ ಬೋಲ್ಡ್​ ಲುಕ್ಸ್​ಗೆ ಫಿದಾ ಆದ ರಣವೀರ್​ ಸಿಂಗ್ ಮಾಡಿದ ಕಮೆಂಟ್​ ಏನು ಗೊತ್ತಾ?​,1
ಕೇರಳದ ಮಹಿಳಾ ಪೊಲೀಸ್\u200c ಸಿಬ್ಬಂದಿ ಬುರ್ಕಾ ಹಾಕಿಕೊಂಡಿರುವುದು ಹೌದಾ?'],0
ಫ್ಯಾಕ್ಟ್‌ಚೆಕ್‌: ರೈಲಿನತ್ತ ಕಲ್ಲು ಎಸೆದವರು ಯಾರು?,0
 ಕೊರೋನಾ ವೇಳೆ ಬಾತುಕೋಳಿಗಳ ಜೊತೆ ಮೋದಿ ಫೋಟೋಶೂಟ್\u200c?'],0
 ಅರ್ಥ ತಜ್ಞರನ್ನು ಟೀಕಿಸಿದ್ರಾ ಟಾಟಾ?'],0
 ರಾಹುಲ್ ಗಾಂಧಿ ಮಹಾಭಾರತದ ಪಾತ್ರಗಳ ಬಗ್ಗೆ ತಪ್ಪಾಗಿ ಟ್ವೀಟ್ ಮಾಡಿದ್ದಾರೆ,0
 ದೆಹಲಿಯಲ್ಲಿ ರೈತರ ಪ್ರತಿಭಟನಾ ವಿಷಯದ ಬಗ್ಗೆ ನಟ ಅಜಯ್ ದೇವಗನ್ ಕುಡಿದು ಗಲಾಟೆ ಮಾಡಿ ಹೊಡೆತ ತಿಂದಿರುವ ವಿಡಿಯೋ,0
ಲಕ್ಷ ಲಕ್ಷ ಸಂಬಳ ಬಿಟ್ಟು ಬಿಗ್​ ಬಾಸ್​ನಲ್ಲಿ 50 ಲಕ್ಷ ಗೆದ್ದ ಶಶಿ ಕುಮಾರ್​!,1
 ಇಮ್ರಾನ್\u200c ಖಾನ್\u200c ಸರ್ಕಾರ ವಿರುದ್ಧ ನಡೆದ ರ್ಯಾಲಿಯಲ್ಲಿ ಭಾರತದ ರಾಷ್ಟ್ರಧ್ವಜ?'],0
PHOTOS: 'ದಂಗಲ್​' ಹುಡುಗಿ ಫಾತಿಮಾ ಸನಾರ ಹಾಟ್​ ಫೋಟೋಶೂಟ್​ನ ಚಿತ್ರಗಳು..!,1
ಏಷ್ಯನ್ ಗೇಮ್ಸ್​​ನಲ್ಲಿ ತ್ರಿವರ್ಣ ಧ್ವಜ ಹಿಡಿಯಲಿರುವ ನೀರಜ್ ಚೋಪ್ರಾ,1
['ಮಗಳ ಆನ್\u200cಲೈನ್\u200c ಶಿಕ್ಷಣಕ್ಕಾಗಿ ರೈತ ಹಸು ಮಾರಿದ್ದು ಸುಳ್ಳು!'],0
